model,category,prompt_id,version,duration,time_seconds
hunyuanvideo_1_5,animal,1,short,5s,1642.56
hunyuanvideo_1_5,animal,1,short,10s,1294.59
hunyuanvideo_1_5,animal,1,medium,5s,1323.81
hunyuanvideo_1_5_distilled,animal,1,short,5s,582.07
hunyuanvideo_1_5_distilled,animal,1,short,10s,1050.6
hunyuanvideo_1_5_distilled,animal,1,short,15s,388.87
hunyuanvideo_1_5_distilled,animal,1,medium,5s,180.86
hunyuanvideo_1_5_distilled,animal,1,medium,10s,191.21
hunyuanvideo_1_5_distilled,animal,1,medium,15s,376.55
hunyuanvideo_1_5_distilled,animal,1,long,5s,74.52
hunyuanvideo_1_5_distilled,animal,1,long,10s,192.38
hunyuanvideo_1_5_distilled,animal,1,long,15s,390.06
hunyuanvideo_1_5_distilled,animal,2,short,5s,81.08
hunyuanvideo_1_5_distilled,animal,2,short,10s,191.79
hunyuanvideo_1_5_distilled,animal,2,short,15s,389.95
hunyuanvideo_1_5_distilled,animal,2,medium,5s,72.49
hunyuanvideo_1_5_distilled,animal,2,medium,10s,193.99
hunyuanvideo_1_5_distilled,animal,2,medium,15s,385.54
hunyuanvideo_1_5_distilled,animal,2,long,5s,78.24
hunyuanvideo_1_5_distilled,animal,2,long,10s,195.74
hunyuanvideo_1_5_distilled,animal,2,long,15s,389.14
hunyuanvideo_1_5_distilled,animal,3,short,5s,79.46
hunyuanvideo_1_5_distilled,animal,3,short,10s,195.42
hunyuanvideo_1_5_distilled,animal,3,short,15s,388.53
hunyuanvideo_1_5_distilled,animal,3,medium,5s,74.42
hunyuanvideo_1_5_distilled,animal,3,medium,10s,192.76
hunyuanvideo_1_5_distilled,animal,3,medium,15s,384.86
hunyuanvideo_1_5_distilled,animal,3,long,5s,80.23
hunyuanvideo_1_5_distilled,animal,3,long,10s,193.67
hunyuanvideo_1_5_distilled,animal,3,long,15s,395.71
hunyuanvideo_1_5_distilled,animal,4,short,5s,73.43
hunyuanvideo_1_5_distilled,animal,4,short,10s,192.02
hunyuanvideo_1_5_distilled,animal,4,short,15s,389.65
hunyuanvideo_1_5_distilled,animal,4,medium,5s,84.98
hunyuanvideo_1_5_distilled,animal,4,medium,10s,195.14
hunyuanvideo_1_5_distilled,animal,4,medium,15s,389.91
hunyuanvideo_1_5_distilled,animal,4,long,5s,85.01
hunyuanvideo_1_5_distilled,animal,4,long,10s,193.97
hunyuanvideo_1_5_distilled,animal,4,long,15s,381.17
hunyuanvideo_1_5_distilled,animal,5,short,5s,74.91
hunyuanvideo_1_5_distilled,animal,5,short,10s,196.0
hunyuanvideo_1_5_distilled,animal,5,short,15s,381.09
hunyuanvideo_1_5_distilled,animal,5,medium,5s,77.83
hunyuanvideo_1_5_distilled,animal,5,medium,10s,194.65
hunyuanvideo_1_5_distilled,animal,5,medium,15s,385.46
hunyuanvideo_1_5_distilled,animal,5,long,5s,81.38
hunyuanvideo_1_5_distilled,animal,5,long,10s,195.28
hunyuanvideo_1_5_distilled,animal,5,long,15s,395.65
hunyuanvideo_1_5_distilled,architecture,1,short,5s,66.27
hunyuanvideo_1_5_distilled,architecture,1,short,10s,191.53
hunyuanvideo_1_5_distilled,architecture,1,short,15s,380.75
hunyuanvideo_1_5_distilled,architecture,1,medium,5s,60.14
hunyuanvideo_1_5_distilled,architecture,1,medium,10s,194.54
hunyuanvideo_1_5_distilled,architecture,1,medium,15s,380.73
hunyuanvideo_1_5_distilled,architecture,1,long,5s,63.35
hunyuanvideo_1_5_distilled,architecture,1,long,10s,194.15
hunyuanvideo_1_5_distilled,architecture,1,long,15s,380.14
hunyuanvideo_1_5_distilled,architecture,2,short,5s,62.41
hunyuanvideo_1_5_distilled,architecture,2,short,10s,189.15
hunyuanvideo_1_5_distilled,architecture,2,short,15s,378.76
hunyuanvideo_1_5_distilled,architecture,2,medium,5s,61.25
hunyuanvideo_1_5_distilled,architecture,2,medium,10s,193.5
hunyuanvideo_1_5_distilled,architecture,2,medium,15s,387.48
hunyuanvideo_1_5_distilled,architecture,2,long,5s,63.57
hunyuanvideo_1_5_distilled,architecture,2,long,10s,193.21
hunyuanvideo_1_5_distilled,architecture,2,long,15s,383.55
hunyuanvideo_1_5_distilled,architecture,3,short,5s,68.23
hunyuanvideo_1_5_distilled,architecture,3,short,10s,194.42
hunyuanvideo_1_5_distilled,architecture,3,short,15s,383.95
hunyuanvideo_1_5_distilled,architecture,3,medium,5s,59.38
hunyuanvideo_1_5_distilled,architecture,3,medium,10s,194.44
hunyuanvideo_1_5_distilled,architecture,3,medium,15s,384.36
hunyuanvideo_1_5_distilled,architecture,3,long,5s,68.84
hunyuanvideo_1_5_distilled,architecture,3,long,10s,192.64
hunyuanvideo_1_5_distilled,architecture,3,long,15s,390.38
hunyuanvideo_1_5_distilled,architecture,4,short,5s,62.13
hunyuanvideo_1_5_distilled,architecture,4,short,10s,195.77
hunyuanvideo_1_5_distilled,architecture,4,short,15s,383.35
hunyuanvideo_1_5_distilled,architecture,4,medium,5s,61.47
hunyuanvideo_1_5_distilled,architecture,4,medium,10s,190.53
hunyuanvideo_1_5_distilled,architecture,4,medium,15s,382.33
hunyuanvideo_1_5_distilled,architecture,4,long,5s,69.67
hunyuanvideo_1_5_distilled,architecture,4,long,10s,194.28
hunyuanvideo_1_5_distilled,architecture,4,long,15s,385.54
hunyuanvideo_1_5_distilled,architecture,5,short,5s,53.61
hunyuanvideo_1_5_distilled,architecture,5,short,10s,194.07
hunyuanvideo_1_5_distilled,architecture,5,short,15s,385.03
hunyuanvideo_1_5_distilled,architecture,5,medium,5s,61.33
hunyuanvideo_1_5_distilled,architecture,5,medium,10s,191.49
hunyuanvideo_1_5_distilled,architecture,5,medium,15s,382.9
hunyuanvideo_1_5_distilled,architecture,5,long,5s,70.94
hunyuanvideo_1_5_distilled,architecture,5,long,10s,190.67
hunyuanvideo_1_5_distilled,architecture,5,long,15s,381.27
hunyuanvideo_1_5_distilled,food,1,short,5s,69.17
hunyuanvideo_1_5_distilled,food,1,short,10s,191.09
hunyuanvideo_1_5_distilled,food,1,short,15s,381.54
hunyuanvideo_1_5_distilled,food,1,medium,5s,63.84
hunyuanvideo_1_5_distilled,food,1,medium,10s,189.56
hunyuanvideo_1_5_distilled,food,1,medium,15s,383.78
hunyuanvideo_1_5_distilled,food,1,long,5s,58.34
hunyuanvideo_1_5_distilled,food,1,long,10s,193.65
hunyuanvideo_1_5_distilled,food,1,long,15s,382.95
hunyuanvideo_1_5_distilled,food,2,short,5s,73.05
hunyuanvideo_1_5_distilled,food,2,short,10s,192.49
hunyuanvideo_1_5_distilled,food,2,short,15s,388.16
hunyuanvideo_1_5_distilled,food,2,medium,5s,57.94
