model,category,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,clip_score
hunyuanvideo_1_5_distilled,animal,0.9129,0.9458,0.995,0.3111,0.5278,0.5529,0.2691
hunyuanvideo_1_5_distilled,architecture,0.964,0.9527,0.9855,0.7111,0.484,0.562,0.2365
hunyuanvideo_1_5_distilled,food,0.9565,0.9534,0.9969,0.2444,0.5079,0.4895,0.2593
hunyuanvideo_1_5_distilled,human,0.9544,0.947,0.9965,0.3556,0.5001,0.4468,0.2586
hunyuanvideo_1_5_distilled,lifestyle,0.9489,0.9429,0.9963,0.4889,0.4572,0.482,0.2603
hunyuanvideo_1_5_distilled,plant,0.9708,0.9599,0.9912,0.4222,0.4805,0.4639,0.2554
hunyuanvideo_1_5_distilled,scenery,0.9726,0.9654,0.9913,0.3778,0.5158,0.4074,0.2641
hunyuanvideo_1_5_distilled,vehicle,0.9329,0.9445,0.9938,0.5111,0.5499,0.4826,0.2671
ltx_2_19b_distilled,animal,0.9106,0.948,0.9922,0.2,0.5936,0.6804,0.282
ltx_2_19b_distilled,architecture,0.9429,0.9487,0.9934,0.6,0.5853,0.6727,0.2714
ltx_2_19b_distilled,food,0.8888,0.9335,0.9887,0.7111,0.6049,0.6251,0.2582
ltx_2_19b_distilled,human,0.9203,0.9401,0.9941,0.4889,0.5613,0.6309,0.274
ltx_2_19b_distilled,lifestyle,0.907,0.9356,0.9905,0.6667,0.5719,0.6519,0.2895
ltx_2_19b_distilled,plant,0.9522,0.963,0.9919,0.4889,0.5961,0.6768,0.2633
ltx_2_19b_distilled,scenery,0.9704,0.9673,0.9902,0.4889,0.6517,0.6509,0.2544
ltx_2_19b_distilled,vehicle,0.9015,0.9393,0.9901,0.5111,0.62,0.6252,0.277
wan_2_2_5b,animal,0.9354,0.9448,0.9945,0.1556,0.5306,0.5771,0.2847
wan_2_2_5b,architecture,0.9382,0.948,0.995,0.0222,0.5481,0.5166,0.2946
wan_2_2_5b,food,0.9198,0.9363,0.9935,0.2667,0.5399,0.6081,0.2754
wan_2_2_5b,human,0.9066,0.931,0.9951,0.2889,0.495,0.4745,0.2738
wan_2_2_5b,lifestyle,0.9092,0.9257,0.9931,0.3556,0.5081,0.5666,0.288
wan_2_2_5b,plant,0.9354,0.9535,0.9909,0.0222,0.5,0.5287,0.2679
wan_2_2_5b,scenery,0.9505,0.9519,0.9931,0.0444,0.5962,0.4647,0.2784
wan_2_2_5b,vehicle,0.926,0.939,0.9858,0.3333,0.5642,0.525,0.2847
